Abbreviation	ModelSEED_rxnID	ModelSEED_cpdID	Bug_rxnID	Complete	HighFiber	Protein	Western
H2O	rxn05319	cpd00001	EX_cpd00001_e0[u]	-1000	0	0	0
H2O	rxn08687	cpd00001	EX_cpd00001_e0[u]	-1000	0	0	0
H2O	rxn09812	cpd00001	EX_cpd00001_e0[u]	-1000	0	0	0
ATP	rxn29318	cpd00002	EX_cpd00002_e0[u]	-1000	0	0	0
NAD	rxn13361	cpd00003	EX_cpd00003_e0[u]	-1000	0	0	0
NAD	rxn24116	cpd00003	EX_cpd00003_e0[u]	-1000	0	0	0
NAD	rxn33813	cpd00003	EX_cpd00003_e0[u]	-1000	0	0	0
NADH	rxn29785	cpd00004	EX_cpd00004_e0[u]	-1000	0	0	0
O2	rxn05468	cpd00007	EX_cpd00007_e0[u]	-1000	-1000	-1000	-1000
O2	rxn09032	cpd00007	EX_cpd00007_e0[u]	-1000	-1000	-1000	-1000
ADP	rxn29320	cpd00008	EX_cpd00008_e0[u]	-1000	0	0	0
CoA	rxn10832	cpd00010	EX_cpd00010_e0[u]	-1000	0	0	0
CO2	rxn05467	cpd00011	EX_cpd00011_e0[u]	-1000	0	0	0
CO2	rxn08238	cpd00011	EX_cpd00011_e0[u]	-1000	0	0	0
CO2	rxn09821	cpd00011	EX_cpd00011_e0[u]	-1000	0	0	0
PPi	rxn29733	cpd00012	EX_cpd00012_e0[u]	-1000	0	0	0
NH3	rxn05466	cpd00013	EX_cpd00013_e0[u]	-1000	0	0	0
NH3	rxn08987	cpd00013	EX_cpd00013_e0[u]	-1000	0	0	0
NH3	rxn29241	cpd00013	EX_cpd00013_e0[u]	-1000	0	0	0
NH3	rxn29242	cpd00013	EX_cpd00013_e0[u]	-1000	0	0	0
UDP	rxn29340	cpd00014	EX_cpd00014_e0[u]	-1000	0	0	0
FAD	rxn29783	cpd00015	EX_cpd00015_e0[u]	-1000	0	0	0
S-Adenosyl-L-methionine	rxn29883	cpd00017	EX_cpd00017_e0[u]	-1000	0	0	0
AMP	rxn13227	cpd00018	EX_cpd00018_e0[u]	-1000	0	0	0
AMP	rxn29321	cpd00018	EX_cpd00018_e0[u]	-1000	0	0	0
Pyruvate	rxn10929	cpd00020	EX_cpd00020_e0[u]	-1000	0	0	0
Pyruvate	rxn29234	cpd00020	EX_cpd00020_e0[u]	-1000	0	0	0
Fe2+	rxn12420	cpd00021	EX_cpd00021_e0[u]	-1000	-1	-1	-1
L-Glutamate	rxn10917	cpd00023	EX_cpd00023_e0[u]	-1000	-0.18	-0.36	-0.18
2-Oxoglutarate	rxn10923	cpd00024	EX_cpd00024_e0[u]	-1000	0	0	0
2-Oxoglutarate	rxn30603	cpd00024	EX_cpd00024_e0[u]	-1000	0	0	0
UDP-glucose	rxn29897	cpd00026	EX_cpd00026_e0[u]	-1000	0	0	0
D-Glucose	rxn09679	cpd00027	EX_cpd00027_e0[u]	-1000	0	0	0
Heme	rxn09116	cpd00028	EX_cpd00028_e0[u]	-1000	-1	-1	-1
Heme	rxn10919	cpd00028	EX_cpd00028_e0[u]	-1000	-1	-1	-1
Heme	rxn34396	cpd00028	EX_cpd00028_e0[u]	-1000	-1	-1	-1
Acetate	rxn10904	cpd00029	EX_cpd00029_e0[u]	-1000	0	0	0
Acetate	rxn28609	cpd00029	EX_cpd00029_e0[u]	-1000	0	0	0
Mn2+	rxn08947	cpd00030	EX_cpd00030_e0[u]	-1000	-1	-1	-1
GDP	rxn29335	cpd00031	EX_cpd00031_e0[u]	-1000	0	0	0
Oxaloacetate	rxn23651	cpd00032	EX_cpd00032_e0[u]	-1000	0	0	0
Glycine	rxn05218	cpd00033	EX_cpd00033_e0[u]	-1000	-0.45	-0.9	-0.45
Glycine	rxn13111	cpd00033	EX_cpd00033_e0[u]	-1000	-0.45	-0.9	-0.45
Zn2+	rxn09391	cpd00034	EX_cpd00034_e0[u]	-1000	-1	-1	-1
Zn2+	rxn28559	cpd00034	EX_cpd00034_e0[u]	-1000	-1	-1	-1
L-Alanine	rxn10921	cpd00035	EX_cpd00035_e0[u]	-1000	-0.3	-0.6	-0.3
L-Alanine	rxn13221	cpd00035	EX_cpd00035_e0[u]	-1000	-0.3	-0.6	-0.3
Succinate	rxn10952	cpd00036	EX_cpd00036_e0[u]	-1000	0	0	0
Succinate	rxn31086	cpd00036	EX_cpd00036_e0[u]	-1000	0	0	0
UDP-N-acetylglucosamine	rxn29913	cpd00037	EX_cpd00037_e0[u]	-1000	0	0	0
GTP	rxn12663	cpd00038	EX_cpd00038_e0[u]	-1000	0	0	0
L-Lysine	rxn10834	cpd00039	EX_cpd00039_e0[u]	-1000	-0.15	-0.3	-0.15
Glyoxalate	rxn28610	cpd00040	EX_cpd00040_e0[u]	-1000	0	0	0
L-Aspartate	rxn10906	cpd00041	EX_cpd00041_e0[u]	-1000	-0.225	-0.45	-0.225
L-Aspartate	rxn13232	cpd00041	EX_cpd00041_e0[u]	-1000	-0.225	-0.45	-0.225
GSH	rxn10829	cpd00042	EX_cpd00042_e0[u]	-1000	0	0	0
UDP-galactose	rxn29910	cpd00043	EX_cpd00043_e0[u]	-1000	0	0	0
Adenosine 3-5-bisphosphate	rxn09665	cpd00045	EX_cpd00045_e0[u]	-1000	0	0	0
CMP	rxn29324	cpd00046	EX_cpd00046_e0[u]	-1000	0	0	0
Formate	rxn09682	cpd00047	EX_cpd00047_e0[u]	-1000	0	0	0
Formate	rxn09754	cpd00047	EX_cpd00047_e0[u]	-1000	0	0	0
Sulfate	rxn05238	cpd00048	EX_cpd00048_e0[u]	-1000	-1	-1	-1
L-Arginine	rxn10840	cpd00051	EX_cpd00051_e0[u]	-1000	-0.15	-0.3	-0.15
CTP	rxn29325	cpd00052	EX_cpd00052_e0[u]	-1000	0	0	0
L-Glutamine	rxn10928	cpd00053	EX_cpd00053_e0[u]	-1000	-0.18	-0.36	-0.18
L-Serine	rxn10999	cpd00054	EX_cpd00054_e0[u]	-1000	-0.3	-0.6	-0.3
L-Serine	rxn13110	cpd00054	EX_cpd00054_e0[u]	-1000	-0.3	-0.6	-0.3
Formaldehyde	rxn08462	cpd00055	EX_cpd00055_e0[u]	-1000	0	0	0
TPP	rxn32561	cpd00056	EX_cpd00056_e0[u]	-1000	0	0	0
TPP	rxn38725	cpd00056	EX_cpd00056_e0[u]	-1000	0	0	0
Cu2+	rxn05212	cpd00058	EX_cpd00058_e0[u]	-1000	-1	-1	-1
Cu2+	rxn08274	cpd00058	EX_cpd00058_e0[u]	-1000	-1	-1	-1
L-Methionine	rxn10976	cpd00060	EX_cpd00060_e0[u]	-1000	-0.18	-0.36	-0.18
UTP	rxn29342	cpd00062	EX_cpd00062_e0[u]	-1000	0	0	0
Ca2+	rxn29529	cpd00063	EX_cpd00063_e0[u]	-1000	0	0	0
Ornithine	rxn10824	cpd00064	EX_cpd00064_e0[u]	-1000	0	0	0
L-Tryptophan	rxn05222	cpd00065	EX_cpd00065_e0[u]	-1000	-0.081	-0.162	-0.081
L-Phenylalanine	rxn11018	cpd00066	EX_cpd00066_e0[u]	-1000	-0.099	-0.198	-0.099
H+	rxn11009	cpd00067	EX_cpd00067_e0[u]	-1000	0	0	0
H+	rxn34471	cpd00067	EX_cpd00067_e0[u]	-1000	0	0	0
L-Tyrosine	rxn10974	cpd00069	EX_cpd00069_e0[u]	-1000	-0.099	-0.198	-0.099
Acetaldehyde	rxn08033	cpd00071	EX_cpd00071_e0[u]	-1000	0	0	0
Acetaldehyde	rxn09700	cpd00071	EX_cpd00071_e0[u]	-1000	0	0	0
Acetaldehyde	rxn13212	cpd00071	EX_cpd00071_e0[u]	-1000	0	0	0
D-fructose-6-phosphate	rxn13638	cpd00072	EX_cpd00072_e0[u]	-1000	0	0	0
Urea	rxn05667	cpd00073	EX_cpd00073_e0[u]	-1000	0	0	0
Urea	rxn09369	cpd00073	EX_cpd00073_e0[u]	-1000	0	0	0
S	rxn10605	cpd00074	EX_cpd00074_e0[u]	-1000	0	0	0
Nitrite	rxn29054	cpd00075	EX_cpd00075_e0[u]	-1000	0	0	0
Nitrite	rxn29236	cpd00075	EX_cpd00075_e0[u]	-1000	0	0	0
Sucrose	rxn28594	cpd00076	EX_cpd00076_e0[u]	-1000	-0.03125	-0.078125	-0.14743391
Catechol	rxn12790	cpd00077	EX_cpd00077_e0[u]	-1000	0	0	0
D-glucose-6-phosphate	rxn13641	cpd00079	EX_cpd00079_e0[u]	-1000	0	0	0
Glycerol-3-phosphate	rxn11234	cpd00080	EX_cpd00080_e0[u]	-1000	0	0	0
Glycerol-3-phosphate	rxn34379	cpd00080	EX_cpd00080_e0[u]	-1000	0	0	0
D-Fructose	rxn12996	cpd00082	EX_cpd00082_e0[u]	-1000	0	0	0
GDP-mannose	rxn29906	cpd00083	EX_cpd00083_e0[u]	-1000	0	0	0
L-Cysteine	rxn10998	cpd00084	EX_cpd00084_e0[u]	-1000	-0.3	-0.6	-0.3
Tetrahydrofolate	rxn33478	cpd00087	EX_cpd00087_e0[u]	-1000	-1	-1	-1
UMP	rxn29341	cpd00091	EX_cpd00091_e0[u]	-1000	0	0	0
Uracil	rxn10993	cpd00092	EX_cpd00092_e0[u]	-1000	0	0	0
Anthranilate	rxn12383	cpd00093	EX_cpd00093_e0[u]	-1000	0	0	0
2-Oxobutyrate	rxn29351	cpd00094	EX_cpd00094_e0[u]	-1000	0	0	0
Glycerone-phosphate	rxn09771	cpd00095	EX_cpd00095_e0[u]	-1000	0	0	0
CDP	rxn29323	cpd00096	EX_cpd00096_e0[u]	-1000	0	0	0
Cl-	rxn10473	cpd00099	EX_cpd00099_e0[u]	-1000	0	0	0
Cl-	rxn29055	cpd00099	EX_cpd00099_e0[u]	-1000	0	0	0
BIOT	rxn29122	cpd00104	EX_cpd00104_e0[u]	-1000	0	0	0
BIOT	rxn38791	cpd00104	EX_cpd00104_e0[u]	-1000	0	0	0
BIOT	rxn38792	cpd00104	EX_cpd00104_e0[u]	-1000	0	0	0
D-Ribose	rxn29248	cpd00105	EX_cpd00105_e0[u]	-1000	0	0	0
Fumarate	rxn11013	cpd00106	EX_cpd00106_e0[u]	-1000	0	0	0
Fumarate	rxn30673	cpd00106	EX_cpd00106_e0[u]	-1000	0	0	0
L-Leucine	rxn11003	cpd00107	EX_cpd00107_e0[u]	-1000	-0.15	-0.3	-0.15
Galactose	rxn10911	cpd00108	EX_cpd00108_e0[u]	-1000	-0.0625	-0.15625	-0.29486781
Oxidized glutathione	rxn09677	cpd00111	EX_cpd00111_e0[u]	-1000	0	0	0
Isopentenyldiphosphate	rxn34386	cpd00113	EX_cpd00113_e0[u]	-1000	0	0	0
IMP	rxn29337	cpd00114	EX_cpd00114_e0[u]	-1000	0	0	0
dATP	rxn12647	cpd00115	EX_cpd00115_e0[u]	-1000	0	0	0
Methanol	rxn10570	cpd00116	EX_cpd00116_e0[u]	-1000	0	0	0
D-Alanine	rxn10991	cpd00117	EX_cpd00117_e0[u]	-1000	0	0	0
L-Histidine	rxn10932	cpd00119	EX_cpd00119_e0[u]	-1000	-0.15	-0.3	-0.15
L-Inositol	rxn29918	cpd00121	EX_cpd00121_e0[u]	-1000	0	0	0
GMP	rxn29336	cpd00126	EX_cpd00126_e0[u]	-1000	0	0	0
Adenine	rxn10918	cpd00128	EX_cpd00128_e0[u]	-1000	0	0	0
L-Proline	rxn10945	cpd00129	EX_cpd00129_e0[u]	-1000	-0.18	-0.36	-0.18
L-Malate	rxn10967	cpd00130	EX_cpd00130_e0[u]	-1000	0	0	0
L-Asparagine	rxn05220	cpd00132	EX_cpd00132_e0[u]	-1000	-0.225	-0.45	-0.225
Nicotinamide	rxn10867	cpd00133	EX_cpd00133_e0[u]	-1000	0	0	0
Citrate	rxn10946	cpd00137	EX_cpd00137_e0[u]	-1000	0	0	0
Citrate	rxn30640	cpd00137	EX_cpd00137_e0[u]	-1000	0	0	0
D-Mannose	rxn12997	cpd00138	EX_cpd00138_e0[u]	-1000	-0.0625	-0.15625	-0.29486781
Glycolate	rxn28666	cpd00139	EX_cpd00139_e0[u]	-1000	0	0	0
Propionate	rxn10836	cpd00141	EX_cpd00141_e0[u]	-1000	0	0	0
Propionate	rxn29233	cpd00141	EX_cpd00141_e0[u]	-1000	0	0	0
Acetoacetate	rxn10960	cpd00142	EX_cpd00142_e0[u]	-1000	0	0	0
Acetoacetate	rxn29148	cpd00142	EX_cpd00142_e0[u]	-1000	0	0	0
UDPglucuronate	rxn29911	cpd00144	EX_cpd00144_e0[u]	-1000	0	0	0
Co2+	rxn08242	cpd00149	EX_cpd00149_e0[u]	-1000	-1	-1	-1
Xylose	rxn09650	cpd00154	EX_cpd00154_e0[u]	-1000	0	0	0
Glycogen	rxn05580	cpd00155	EX_cpd00155_e0[u]	-1000	0	0	0
Glycogen	rxn30290	cpd00155	EX_cpd00155_e0[u]	-1000	0	0	0
L-Valine	rxn05245	cpd00156	EX_cpd00156_e0[u]	-1000	-0.18	-0.36	-0.18
Glycerone	rxn05532	cpd00157	EX_cpd00157_e0[u]	-1000	0	0	0
Glycerone	rxn08326	cpd00157	EX_cpd00157_e0[u]	-1000	0	0	0
L-Lactate	rxn11016	cpd00159	EX_cpd00159_e0[u]	-1000	0	0	0
L-Threonine	rxn10898	cpd00161	EX_cpd00161_e0[u]	-1000	-0.225	-0.45	-0.225
L-Threonine	rxn13117	cpd00161	EX_cpd00161_e0[u]	-1000	-0.225	-0.45	-0.225
Aminoethanol	rxn10841	cpd00162	EX_cpd00162_e0[u]	-1000	0	0	0
UDP-xylose	rxn29909	cpd00163	EX_cpd00163_e0[u]	-1000	0	0	0
3-Phosphoglycerate	rxn34184	cpd00169	EX_cpd00169_e0[u]	-1000	0	0	0
dADP	rxn29326	cpd00177	EX_cpd00177_e0[u]	-1000	0	0	0
Maltose	rxn29412	cpd00179	EX_cpd00179_e0[u]	-1000	-0.03125	-0.078125	-0.14743391
Adenosine	rxn11000	cpd00182	EX_cpd00182_e0[u]	-1000	0	0	0
Thymidine	rxn10916	cpd00184	EX_cpd00184_e0[u]	-1000	0	0	0
D-Arabinose	rxn05499	cpd00185	EX_cpd00185_e0[u]	-1000	0	0	0
Arachidonate	rxn39013	cpd00188	EX_cpd00188_e0[u]	-1000	0	0	0
beta-D-Glucose	rxn28584	cpd00190	EX_cpd00190_e0[u]	-1000	0	0	0
Protocatechuate	rxn12246	cpd00197	EX_cpd00197_e0[u]	-1000	0	0	0
4MOP	rxn13113	cpd00200	EX_cpd00200_e0[u]	-1000	0	0	0
DMAPP	rxn34362	cpd00202	EX_cpd00202_e0[u]	-1000	0	0	0
K+	rxn05206	cpd00205	EX_cpd00205_e0[u]	-1000	-1	-1	-1
K+	rxn27350	cpd00205	EX_cpd00205_e0[u]	-1000	-1	-1	-1
dCMP	rxn29328	cpd00206	EX_cpd00206_e0[u]	-1000	0	0	0
Guanine	rxn08683	cpd00207	EX_cpd00207_e0[u]	-1000	0	0	0
Guanine	rxn10142	cpd00207	EX_cpd00207_e0[u]	-1000	0	0	0
LACT	rxn28585	cpd00208	EX_cpd00208_e0[u]	-1000	0	0	0
Nitrate	rxn10935	cpd00209	EX_cpd00209_e0[u]	-1000	0	0	0
Butyrate	rxn11382	cpd00211	EX_cpd00211_e0[u]	-1000	0	0	0
L-Sorbose	rxn05653	cpd00212	EX_cpd00212_e0[u]	-1000	0	0	0
L-Sorbose	rxn28581	cpd00212	EX_cpd00212_e0[u]	-1000	0	0	0
Palmitate	rxn09676	cpd00214	EX_cpd00214_e0[u]	-1000	0	0	0
Palmitate	rxn31182	cpd00214	EX_cpd00214_e0[u]	-1000	0	0	0
Pyridoxal	rxn12666	cpd00215	EX_cpd00215_e0[u]	-1000	-1	-1	-1
Pyridoxal	rxn29117	cpd00215	EX_cpd00215_e0[u]	-1000	-1	-1	-1
Brachiose	rxn29402	cpd00217	EX_cpd00217_e0[u]	-1000	0	0	0
Niacin	rxn05310	cpd00218	EX_cpd00218_e0[u]	-1000	0	0	0
Niacin	rxn08970	cpd00218	EX_cpd00218_e0[u]	-1000	0	0	0
Riboflavin	rxn05224	cpd00220	EX_cpd00220_e0[u]	-1000	-1	-1	-1
D-Lactate	rxn29362	cpd00221	EX_cpd00221_e0[u]	-1000	0	0	0
GLCN	rxn12424	cpd00222	EX_cpd00222_e0[u]	-1000	0	0	0
Glycerate	rxn30485	cpd00223	EX_cpd00223_e0[u]	-1000	0	0	0
Glycerate	rxn31197	cpd00223	EX_cpd00223_e0[u]	-1000	0	0	0
L-Arabinose	rxn09695	cpd00224	EX_cpd00224_e0[u]	-1000	0	0	0
HYXN	rxn08738	cpd00226	EX_cpd00226_e0[u]	-1000	0	0	0
HYXN	rxn10143	cpd00226	EX_cpd00226_e0[u]	-1000	0	0	0
Glycolaldehyde	rxn09680	cpd00229	EX_cpd00229_e0[u]	-1000	0	0	0
D-mannose-6-phosphate	rxn13644	cpd00235	EX_cpd00235_e0[u]	-1000	0	0	0
H2S	rxn10541	cpd00239	EX_cpd00239_e0[u]	-1000	-1	-1	-1
dGTP	rxn12648	cpd00241	EX_cpd00241_e0[u]	-1000	0	0	0
H2CO3	rxn10826	cpd00242	EX_cpd00242_e0[u]	-1000	0	0	0
H2CO3	rxn29060	cpd00242	EX_cpd00242_e0[u]	-1000	0	0	0
H2CO3	rxn29238	cpd00242	EX_cpd00242_e0[u]	-1000	0	0	0
Ni2+	rxn08992	cpd00244	EX_cpd00244_e0[u]	-1000	0	0	0
Inosine	rxn29210	cpd00246	EX_cpd00246_e0[u]	-1000	0	0	0
Orotate	rxn10908	cpd00247	EX_cpd00247_e0[u]	-1000	-1	-1	-1
Uridine	rxn10987	cpd00249	EX_cpd00249_e0[u]	-1000	0	0	0
ADPribose	rxn38757	cpd00251	EX_cpd00251_e0[u]	-1000	0	0	0
Mg	rxn08923	cpd00254	EX_cpd00254_e0[u]	-1000	-1	-1	-1
D-Lyxulose	rxn28582	cpd00259	EX_cpd00259_e0[u]	-1000	0	0	0
L-Lyxulose	rxn29479	cpd00261	EX_cpd00261_e0[u]	-1000	0	0	0
Pyridoxol	rxn13097	cpd00263	EX_cpd00263_e0[u]	-1000	0	0	0
Pyridoxol	rxn29112	cpd00263	EX_cpd00263_e0[u]	-1000	0	0	0
Pyridoxol	rxn32339	cpd00263	EX_cpd00263_e0[u]	-1000	0	0	0
Amylopectin	rxn29423	cpd00265	EX_cpd00265_e0[u]	-1000	-0.00108481	-0.0004921	-5.56E-05
Carnitine	rxn09691	cpd00266	EX_cpd00266_e0[u]	-1000	0	0	0
Carnitine	rxn09773	cpd00266	EX_cpd00266_e0[u]	-1000	0	0	0
H2S2O3	rxn29734	cpd00268	EX_cpd00268_e0[u]	-1000	0	0	0
2-Oxoadipate	rxn09803	cpd00269	EX_cpd00269_e0[u]	-1000	0	0	0
Geranyldiphosphate	rxn35575	cpd00283	EX_cpd00283_e0[u]	-1000	0	0	0
Undecaprenylphosphate	rxn09346	cpd00286	EX_cpd00286_e0[u]	-1000	0	0	0
D-Glucosamine phosphate	rxn05568	cpd00288	EX_cpd00288_e0[u]	-1000	0	0	0
D-Glucosamine phosphate	rxn13642	cpd00288	EX_cpd00288_e0[u]	-1000	0	0	0
dGDP	rxn29330	cpd00295	EX_cpd00295_e0[u]	-1000	0	0	0
dGMP	rxn29331	cpd00296	EX_cpd00296_e0[u]	-1000	0	0	0
dTDP	rxn29338	cpd00297	EX_cpd00297_e0[u]	-1000	0	0	0
dTMP	rxn29339	cpd00298	EX_cpd00298_e0[u]	-1000	0	0	0
dUMP	rxn29333	cpd00299	EX_cpd00299_e0[u]	-1000	0	0	0
Retinal	rxn34451	cpd00304	EX_cpd00304_e0[u]	-1000	-1	-1	-1
Thiamin	rxn11006	cpd00305	EX_cpd00305_e0[u]	-1000	-1	-1	-1
Xylitol	rxn09651	cpd00306	EX_cpd00306_e0[u]	-1000	0	0	0
XAN	rxn09379	cpd00309	EX_cpd00309_e0[u]	-1000	0	0	0
XAN	rxn09652	cpd00309	EX_cpd00309_e0[u]	-1000	0	0	0
Guanosine	rxn10897	cpd00311	EX_cpd00311_e0[u]	-1000	0	0	0
D-Mannitol	rxn28589	cpd00314	EX_cpd00314_e0[u]	-1000	0	0	0
GDP-glucose	rxn29904	cpd00315	EX_cpd00315_e0[u]	-1000	0	0	0
D-Aspartate	rxn12404	cpd00320	EX_cpd00320_e0[u]	-1000	0	0	0
L-Isoleucine	rxn10933	cpd00322	EX_cpd00322_e0[u]	-1000	-0.15	-0.3	-0.15
L-Isoleucine	rxn13323	cpd00322	EX_cpd00322_e0[u]	-1000	-0.15	-0.3	-0.15
MTTL	rxn10470	cpd00324	EX_cpd00324_e0[u]	-1000	0	0	0
cis-Aconitate	rxn30639	cpd00331	EX_cpd00331_e0[u]	-1000	0	0	0
N-Carbamoyl-L-aspartate	rxn09824	cpd00343	EX_cpd00343_e0[u]	-1000	0	0	0
Farnesyldiphosphate	rxn34371	cpd00350	EX_cpd00350_e0[u]	-1000	0	0	0
D-threo-Isocitric acid	rxn29365	cpd00353	EX_cpd00353_e0[u]	-1000	0	0	0
D-threo-Isocitric acid	rxn30706	cpd00353	EX_cpd00353_e0[u]	-1000	0	0	0
Nicotinamide ribonucleotide	rxn08995	cpd00355	EX_cpd00355_e0[u]	-1000	0	0	0
Nicotinamide ribonucleotide	rxn10181	cpd00355	EX_cpd00355_e0[u]	-1000	0	0	0
dCTP	rxn29329	cpd00356	EX_cpd00356_e0[u]	-1000	0	0	0
TTP	rxn09686	cpd00357	EX_cpd00357_e0[u]	-1000	0	0	0
dUTP	rxn29334	cpd00358	EX_cpd00358_e0[u]	-1000	0	0	0
Purine	rxn29344	cpd00360	EX_cpd00360_e0[u]	-1000	0	0	0
Ethanol	rxn09683	cpd00363	EX_cpd00363_e0[u]	-1000	0	0	0
Ribitol	rxn29487	cpd00366	EX_cpd00366_e0[u]	-1000	0	0	0
Cytidine	rxn10997	cpd00367	EX_cpd00367_e0[u]	-1000	0	0	0
D-Lyxose	rxn29481	cpd00368	EX_cpd00368_e0[u]	-1000	0	0	0
Melitose	rxn28574	cpd00382	EX_cpd00382_e0[u]	-1000	0	0	0
ADPglucose	rxn29892	cpd00387	EX_cpd00387_e0[u]	-1000	0	0	0
Allantoate	rxn09697	cpd00388	EX_cpd00388_e0[u]	-1000	0	0	0
Phycite	rxn29465	cpd00392	EX_cpd00392_e0[u]	-1000	0	0	0
Folate	rxn38796	cpd00393	EX_cpd00393_e0[u]	-1000	-1	-1	-1
L-Ribulose	rxn29476	cpd00397	EX_cpd00397_e0[u]	-1000	0	0	0
Deoxyuridine	rxn10984	cpd00412	EX_cpd00412_e0[u]	-1000	0	0	0
L-Lyxitol	rxn05483	cpd00417	EX_cpd00417_e0[u]	-1000	0	0	0
NO	rxn09009	cpd00418	EX_cpd00418_e0[u]	-1000	0	0	0
NO	rxn10828	cpd00418	EX_cpd00418_e0[u]	-1000	0	0	0
PM	rxn29116	cpd00419	EX_cpd00419_e0[u]	-1000	0	0	0
Phenylcarbinol	rxn12384	cpd00435	EX_cpd00435_e0[u]	-1000	0	0	0
Deoxyadenosine	rxn10939	cpd00438	EX_cpd00438_e0[u]	-1000	0	0	0
cAMP	rxn29322	cpd00446	EX_cpd00446_e0[u]	-1000	0	0	0
D-Glyceraldehyde	rxn08636	cpd00448	EX_cpd00448_e0[u]	-1000	0	0	0
D-Glyceraldehyde	rxn10164	cpd00448	EX_cpd00448_e0[u]	-1000	0	0	0
Methyl sulfide	rxn10500	cpd00450	EX_cpd00450_e0[u]	-1000	0	0	0
"1,2-Propanediol"	rxn07922	cpd00453	EX_cpd00453_e0[u]	-1000	0	0	0
"1,2-Propanediol"	rxn10140	cpd00453	EX_cpd00453_e0[u]	-1000	0	0	0
Coniferol	rxn12794	cpd00458	EX_cpd00458_e0[u]	-1000	0	0	0
UDPgalacturonate	rxn29908	cpd00472	EX_cpd00472_e0[u]	-1000	0	0	0
2-Dehydro-D-gluconate	rxn13791	cpd00480	EX_cpd00480_e0[u]	-1000	0	0	0
Glycerophosphocholine	rxn13291	cpd00507	EX_cpd00507_e0[u]	-1000	0	0	0
N2	rxn10577	cpd00528	EX_cpd00528_e0[u]	-1000	0	0	0
Hg2+	rxn05586	cpd00531	EX_cpd00531_e0[u]	-1000	0	0	0
O2-	rxn29735	cpd00532	EX_cpd00532_e0[u]	-1000	0	0	0
dCDP	rxn29327	cpd00533	EX_cpd00533_e0[u]	-1000	0	0	0
Oleate	rxn28606	cpd00536	EX_cpd00536_e0[u]	-1000	0	0	0
Pterin	rxn38794	cpd00538	EX_cpd00538_e0[u]	-1000	0	0	0
BET	rxn12430	cpd00540	EX_cpd00540_e0[u]	-1000	0	0	0
D-Serine	rxn10965	cpd00550	EX_cpd00550_e0[u]	-1000	0	0	0
Siroheme	rxn29728	cpd00557	EX_cpd00557_e0[u]	-1000	0	0	0
Spermine	rxn09659	cpd00558	EX_cpd00558_e0[u]	-1000	-1	-1	-1
Glucarate	rxn29111	cpd00571	EX_cpd00571_e0[u]	-1000	0	0	0
Sorbitol	rxn09662	cpd00588	EX_cpd00588_e0[u]	-1000	0	0	0
D-Tagatose	rxn29490	cpd00589	EX_cpd00589_e0[u]	-1000	0	0	0
SALC	rxn12401	cpd00599	EX_cpd00599_e0[u]	-1000	0	0	0
4-Coumarate	rxn12813	cpd00604	EX_cpd00604_e0[u]	-1000	0	0	0
D-Glucarate	rxn12442	cpd00609	EX_cpd00609_e0[u]	-1000	0	0	0
dTDPglucose	rxn29900	cpd00626	EX_cpd00626_e0[u]	-1000	0	0	0
Cbl	rxn28561	cpd00635	EX_cpd00635_e0[u]	-1000	-1	-1	-1
Cbl	rxn28562	cpd00635	EX_cpd00635_e0[u]	-1000	-1	-1	-1
L-Rhamnulose	rxn29486	cpd00642	EX_cpd00642_e0[u]	-1000	0	0	0
PAN	rxn38800	cpd00644	EX_cpd00644_e0[u]	-1000	-1	-1	-1
D-Mucic acid	rxn12441	cpd00652	EX_cpd00652_e0[u]	-1000	0	0	0
D-Mucic acid	rxn29110	cpd00652	EX_cpd00652_e0[u]	-1000	0	0	0
Deoxycytidine	rxn11014	cpd00654	EX_cpd00654_e0[u]	-1000	0	0	0
Isochorismate	rxn29879	cpd00658	EX_cpd00658_e0[u]	-1000	0	0	0
Nitrous oxide	rxn08967	cpd00659	EX_cpd00659_e0[u]	-1000	0	0	0
Nitrous oxide	rxn30495	cpd00659	EX_cpd00659_e0[u]	-1000	0	0	0
alpha-Maltose	rxn28571	cpd00665	EX_cpd00665_e0[u]	-1000	0	0	0
alpha-Maltose	rxn31172	cpd00665	EX_cpd00665_e0[u]	-1000	0	0	0
Chloramphenicol	rxn30461	cpd00680	EX_cpd00680_e0[u]	-1000	0	0	0
Indoleacetate	rxn29874	cpd00703	EX_cpd00703_e0[u]	-1000	0	0	0
beta D-Galactose	rxn28583	cpd00709	EX_cpd00709_e0[u]	-1000	0	0	0
O-Acetyl-L-serine	rxn34353	cpd00722	EX_cpd00722_e0[u]	-1000	0	0	0
O-Acetyl-L-serine	rxn34480	cpd00722	EX_cpd00722_e0[u]	-1000	0	0	0
alpha-D-Galactose	rxn28569	cpd00724	EX_cpd00724_e0[u]	-1000	0	0	0
2-Phosphoglycolate	rxn34183	cpd00727	EX_cpd00727_e0[u]	-1000	0	0	0
2-Phosphoglycolate	rxn34453	cpd00727	EX_cpd00727_e0[u]	-1000	0	0	0
Ala-Ala	rxn29313	cpd00731	EX_cpd00731_e0[u]	-1000	0	0	0
Trimethylsulfonium	rxn29672	cpd00740	EX_cpd00740_e0[u]	-1000	0	0	0
4-Guanidinobutanoate	rxn12407	cpd00762	EX_cpd00762_e0[u]	-1000	0	0	0
