Abbreviation	ModelSEED_rxnID	ModelSEED_cpdID	Bug_rxnID	Complete	HighFiber	Protein	Western
2-Acyl-sn-glycero-3-phosphoethanolamine hexadec-9-enoyl	rxn07943	cpd15340	EX_cpd15340_e0[u]	-1000	0	0	0
2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0)	rxn07944	cpd15341	EX_cpd15341_e0[u]	-1000	0	0	0
2-Acyl-sn-glycero-3-phosphoethanolamine octadec-11-enoyl	rxn07945	cpd15342	EX_cpd15342_e0[u]	-1000	0	0	0
2-Acyl-sn-glycero-3-phosphoglycerol dodecanoyl	rxn07953	cpd15343	EX_cpd15343_e0[u]	-1000	0	0	0
2-Acyl-sn-glycero-3-phosphoglycerol tetradecanoyl	rxn07954	cpd15344	EX_cpd15344_e0[u]	-1000	0	0	0
2-Acyl-sn-glycero-3-phosphoglycerol tetradec-7-enoyl	rxn07955	cpd15345	EX_cpd15345_e0[u]	-1000	0	0	0
2-Acyl-sn-glycero-3-phosphoglycerol hexadecanoyl	rxn07956	cpd15346	EX_cpd15346_e0[u]	-1000	0	0	0
2-Acyl-sn-glycero-3-phosphoglycerol hexadec-9-enoyl	rxn07957	cpd15347	EX_cpd15347_e0[u]	-1000	0	0	0
2-Acyl-sn-glycero-3-phosphoglycerol octadecanoyl	rxn07958	cpd15348	EX_cpd15348_e0[u]	-1000	0	0	0
2-Acyl-sn-glycero-3-phosphoglycerol octadec-11-enoyl	rxn07959	cpd15349	EX_cpd15349_e0[u]	-1000	0	0	0
2-dodecanoyl-sn-glycerol 3-phosphate	rxn07932	cpd15350	EX_cpd15350_e0[u]	-1000	0	0	0
2-hexadec-9-enoyl-sn-glycerol 3-phosphate	rxn07936	cpd15354	EX_cpd15354_e0[u]	-1000	0	0	0
2-hexadecanoyl-sn-glycerol 3-phosphate	rxn07935	cpd15355	EX_cpd15355_e0[u]	-1000	0	0	0
2-octadec-11-enoyl-sn-glycerol 3-phosphate	rxn07938	cpd15357	EX_cpd15357_e0[u]	-1000	0	0	0
2-octadecanoyl-sn-glycerol 3-phosphate	rxn07937	cpd15358	EX_cpd15358_e0[u]	-1000	0	0	0
2-tetradec-7-enoyl-sn-glycerol 3-phosphate	rxn07934	cpd15362	EX_cpd15362_e0[u]	-1000	0	0	0
2-tetradecanoyl-sn-glycerol 3-phosphate	rxn07933	cpd15363	EX_cpd15363_e0[u]	-1000	0	0	0
4-Hydroxy-benzylalcohol	rxn12376	cpd15378	EX_cpd15378_e0[u]	-1000	0	0	0
4-Amino-4-deoxy-L-arabinose modified core oligosaccharide lipid A	rxn08056	cpd15392	EX_cpd15392_e0[u]	-1000	0	0	0
core oligosaccharide lipid A	rxn08244	cpd15432	EX_cpd15432_e0[u]	-1000	0	0	0
coprogen	rxn28601	cpd15437	EX_cpd15437_e0[u]	-1000	0	0	0
coprogen	rxn28602	cpd15437	EX_cpd15437_e0[u]	-1000	0	0	0
(enterobacterial common antigen)x4 core oligosaccharide lipid A	rxn08406	cpd15457	EX_cpd15457_e0[u]	-1000	0	0	0
phosphoethanolamine KDO(2)-lipid (A)	rxn08419	cpd15459	EX_cpd15459_e0[u]	-1000	0	0	0
"ferric 2,3-dihydroxybenzoylserine"	rxn28603	cpd15460	EX_cpd15460_e0[u]	-1000	0	0	0
fructoselysine	rxn29171	cpd15466	EX_cpd15466_e0[u]	-1000	0	0	0
cold adapted KDO(2)-lipid (A)	rxn08218	cpd15493	EX_cpd15493_e0[u]	-1000	0	0	0
(O16 antigen)x4 core oligosaccharide lipid A	rxn09020	cpd15518	EX_cpd15518_e0[u]	-1000	0	0	0
psicoselysine	rxn29172	cpd15559	EX_cpd15559_e0[u]	-1000	0	0	0
HPA	rxn29359	cpd15608	EX_cpd15608_e0[u]	-1000	0	0	0
unknown degradation product of cbl1 for adocbl-HBI synthesis	rxn10616	cpd15910	EX_cpd15910_e0[u]	-1000	0	0	0
unknown riboflavin degradation product	rxn10617	cpd15911	EX_cpd15911_e0[u]	-1000	0	0	0
phenol palmitic acid	rxn10819	cpd16013	EX_cpd16013_e0[u]	-1000	0	0	0
Lidocaine	rxn34425	cpd16326	EX_cpd16326_e0[u]	-1000	0	0	0
Isoprene	rxn13765	cpd16336	EX_cpd16336_e0[u]	-1000	0	0	0
"1,5-Anhydro-D-mannitol"	rxn29446	cpd16352	EX_cpd16352_e0[u]	-1000	0	0	0
Monoethylglycinexylidide	rxn34426	cpd16375	EX_cpd16375_e0[u]	-1000	0	0	0
beta-D-Ribofuranose	rxn29249	cpd16443	EX_cpd16443_e0[u]	-1000	0	0	0
Deoxynojirimycin	rxn29367	cpd16592	EX_cpd16592_e0[u]	-1000	0	0	0
ethylsalicylate	rxn12409	cpd16657	EX_cpd16657_e0[u]	-1000	0	0	0
4-hydroxybenzylacetate	rxn12411	cpd16658	EX_cpd16658_e0[u]	-1000	0	0	0
"5alpha-ergosta-7,22-dien-3beta-ol"	rxn12864	cpd16792	EX_cpd16792_e0[u]	-1000	0	0	0
C24-CoA	rxn13161	cpd16798	EX_cpd16798_e0[u]	-1000	0	0	0
C26-acid	rxn13162	cpd16799	EX_cpd16799_e0[u]	-1000	0	0	0
glycerophosphatidyl-D-myo-inositol	rxn12980	cpd16805	EX_cpd16805_e0[u]	-1000	0	0	0
glycerophosphatidylcholine	rxn12979	cpd16806	EX_cpd16806_e0[u]	-1000	0	0	0
hexadecanoyl-9-ene-acid	rxn13132	cpd16807	EX_cpd16807_e0[u]	-1000	0	0	0
methylglucoside	rxn13124	cpd16821	EX_cpd16821_e0[u]	-1000	0	0	0
octadecanoyl-9-ene-acid	rxn13133	cpd16823	EX_cpd16823_e0[u]	-1000	0	0	0
stearoyl-ACP	rxn13158	cpd16828	EX_cpd16828_e0[u]	-1000	0	0	0
tetradecanoyl-9-ene-acid	rxn13131	cpd16829	EX_cpd16829_e0[u]	-1000	0	0	0
octadecadienoate (n-C18:2)	rxn13366	cpd16888	EX_cpd16888_e0[u]	-1000	0	0	0
Mannosylfructose 6-phosphate	rxn29389	cpd18033	EX_cpd18033_e0[u]	-1000	0	0	0
Mannosylfructose	rxn29390	cpd18050	EX_cpd18050_e0[u]	-1000	0	0	0
alpha-D-Glucose	rxn28570	cpd19001	EX_cpd19001_e0[u]	-1000	0	0	0
alpha-D-Glucose	rxn31356	cpd19001	EX_cpd19001_e0[u]	-1000	0	0	0
Fructose	rxn29877	cpd19015	EX_cpd19015_e0[u]	-1000	-0.0625	-0.15625	-0.29486781
(S)(+)-Allantoin	rxn29179	cpd19020	EX_cpd19020_e0[u]	-1000	0	0	0
N-Acetyl-alpha-D-glucosamine 1-phosphate	rxn28591	cpd19031	EX_cpd19031_e0[u]	-1000	0	0	0
beta-D-Fructose 6-phosphate	rxn34364	cpd19035	EX_cpd19035_e0[u]	-1000	0	0	0
C11476	rxn29478	cpd19109	EX_cpd19109_e0[u]	-1000	0	0	0
Arsenous oxide	rxn29782	cpd19149	EX_cpd19149_e0[u]	-1000	0	0	0
Nickel(2+)	rxn29057	cpd20862	EX_cpd20862_e0[u]	-1000	0	0	0
Manganese(2+)	rxn29671	cpd20863	EX_cpd20863_e0[u]	-1000	0	0	0
18-Hydroxyoleate	rxn29349	cpd20869	EX_cpd20869_e0[u]	-1000	0	0	0
18-Oxooleate	rxn29350	cpd20870	EX_cpd20870_e0[u]	-1000	0	0	0
"Octadec-9-ene-1,18-dioic-acid"	rxn29363	cpd20871	EX_cpd20871_e0[u]	-1000	0	0	0
L-Sorbosone	rxn29477	cpd20927	EX_cpd20927_e0[u]	-1000	0	0	0
"UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-glucuronate"	rxn29383	cpd20972	EX_cpd20972_e0[u]	-1000	0	0	0
"UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-mannuronate"	rxn29384	cpd20992	EX_cpd20992_e0[u]	-1000	0	0	0
beta-D-Galactosyl-(1->4)-L-rhamnose	rxn29399	cpd21004	EX_cpd21004_e0[u]	-1000	0	0	0
"ADP-ribose 1'',2''-phosphate"	rxn29899	cpd21093	EX_cpd21093_e0[u]	-1000	0	0	0
1-deoxyxylonojirimycin	rxn29368	cpd21776	EX_cpd21776_e0[u]	-1000	0	0	0
4-amino-4-deoxy-L-arabinose	rxn29370	cpd22105	EX_cpd22105_e0[u]	-1000	0	0	0
6G-kestotriose	rxn28568	cpd22200	EX_cpd22200_e0[u]	-1000	0	0	0
ACYL-COA	rxn38801	cpd22234	EX_cpd22234_e0[u]	-1000	0	0	0
an alcohol group	rxn29343	cpd22250	EX_cpd22250_e0[u]	-1000	0	0	0
allolactose	rxn29371	cpd22252	EX_cpd22252_e0[u]	-1000	-0.03125	-0.078125	-0.14743391
Acids	rxn29345	cpd22296	EX_cpd22296_e0[u]	-1000	0	0	0
Amino-Acids-20	rxn29366	cpd22369	EX_cpd22369_e0[u]	-1000	0	0	0
beta-L-arabinopyranose	rxn29376	cpd22429	EX_cpd22429_e0[u]	-1000	0	0	0
"1,6-kestotetraose"	rxn28573	cpd22431	EX_cpd22431_e0[u]	-1000	0	0	0
BIOPTERIN	rxn29880	cpd22433	EX_cpd22433_e0[u]	-1000	0	0	0
Fe(II)-NA	rxn25598	cpd22580	EX_cpd22580_e0[u]	-1000	0	0	0
"(1,6)-beta-galactobiose"	rxn29381	cpd22631	EX_cpd22631_e0[u]	-1000	0	0	0
trigalacturonate	rxn29382	cpd22633	EX_cpd22633_e0[u]	-1000	0	0	0
alpha-L-fucopyranose	rxn29385	cpd22637	EX_cpd22637_e0[u]	-1000	0	0	0
alpha-D-Gal-(1->3)-alpha-D-Gal-(1->2)-beta-D-Fru	rxn29388	cpd22774	EX_cpd22774_e0[u]	-1000	0	0	0
alpha-D-fructofuranose	rxn29391	cpd22786	EX_cpd22786_e0[u]	-1000	0	0	0
beta-D-fructopyranose	rxn29393	cpd22787	EX_cpd22787_e0[u]	-1000	0	0	0
alpha-L-fructopyranose	rxn29394	cpd22788	EX_cpd22788_e0[u]	-1000	0	0	0
beta-L-fructopyranose	rxn29395	cpd22789	EX_cpd22789_e0[u]	-1000	0	0	0
alpha-L-fructofuranose	rxn29396	cpd22790	EX_cpd22790_e0[u]	-1000	0	0	0
beta-L-fructofuranose	rxn29397	cpd22791	EX_cpd22791_e0[u]	-1000	0	0	0
ADP ribose 1''-phosphate	rxn29895	cpd22822	EX_cpd22822_e0[u]	-1000	0	0	0
beta-L-mannose	rxn29400	cpd23021	EX_cpd23021_e0[u]	-1000	0	0	0
alpha-L-mannose	rxn29401	cpd23023	EX_cpd23023_e0[u]	-1000	0	0	0
UDP-Mur2Ac(oyl-L-Ala-g-D-Glu-L-Lys-D-Ala)	rxn29896	cpd23315	EX_cpd23315_e0[u]	-1000	0	0	0
"1,2-dibutyrin"	rxn29885	cpd23712	EX_cpd23712_e0[u]	-1000	0	0	0
"6G,6-kestotetraose"	rxn28579	cpd24378	EX_cpd24378_e0[u]	-1000	0	0	0
L-Glucose	rxn29411	cpd24421	EX_cpd24421_e0[u]	-1000	0	0	0
a-cyclodextrin	rxn29415	cpd24451	EX_cpd24451_e0[u]	-1000	0	0	0
cyclooctaamylose	rxn29416	cpd24452	EX_cpd24452_e0[u]	-1000	-0.00152778	-0.0069444	-7.84E-05
3-O-b-D-galactopyranosyl-D-arabinose	rxn29417	cpd24453	EX_cpd24453_e0[u]	-1000	0	0	0
6-O-alpha-D-galactopyranosyl-D-gluconic acid	rxn29418	cpd24454	EX_cpd24454_e0[u]	-1000	0	0	0
L-ribose	rxn29421	cpd24606	EX_cpd24606_e0[u]	-1000	0	0	0
1-O-beta-D-glucopyranosyl-D-mannitol	rxn29422	cpd24607	EX_cpd24607_e0[u]	-1000	0	0	0
S2-	rxn29732	cpd24697	EX_cpd24697_e0[u]	-1000	0	0	0
O-alpha-D-galactopyranosyl-(1->6)-O-alpha-D-galactopyranosyl-(1->2)-4-O-methyl-chiro-inositol	rxn29424	cpd25013	EX_cpd25013_e0[u]	-1000	0	0	0
O-alpha-D-galactopyranosyl-(1->6)-O-alpha-D-galactopyranosyl-(1->2)-1D-chiro-inositol	rxn29428	cpd25112	EX_cpd25112_e0[u]	-1000	0	0	0
fagopyritol B3	rxn29429	cpd25113	EX_cpd25113_e0[u]	-1000	0	0	0
O-alpha-D-galactopyranosyl-(1->6)-O-alpha-D-galactopyranosyl-(1->3)-1D-chiro-inositol	rxn29430	cpd25114	EX_cpd25114_e0[u]	-1000	0	0	0
O-alpha-D-galactopyranosyl-(1->6)-O-alpha-D-galactopyranosyl-(1->6)-O-alpha-D-galactopyranosyl-(1->3)-1D-chiro-inositol	rxn29431	cpd25116	EX_cpd25116_e0[u]	-1000	0	0	0
"3,6-anhydrogalactofuranose"	rxn29432	cpd25499	EX_cpd25499_e0[u]	-1000	0	0	0
agarotetraose	rxn29433	cpd25500	EX_cpd25500_e0[u]	-1000	0	0	0
beta-D-apiofuranosyl-(1->6)-D-glucose	rxn29434	cpd25522	EX_cpd25522_e0[u]	-1000	0	0	0
"L-sorbosone 1,4-lactone"	rxn29435	cpd25544	EX_cpd25544_e0[u]	-1000	0	0	0
"L-sorbosone 2,6-lactone"	rxn29436	cpd25545	EX_cpd25545_e0[u]	-1000	0	0	0
D-perosamine	rxn29437	cpd25665	EX_cpd25665_e0[u]	-1000	0	0	0
tyvelose	rxn29440	cpd25669	EX_cpd25669_e0[u]	-1000	0	0	0
"3,6-dideoxy-L-arabino-hexose"	rxn29441	cpd25670	EX_cpd25670_e0[u]	-1000	0	0	0
"(3,6-dideoxy-4-C-(1-hydroxyethyl)-D-xylo-hexose"	rxn29442	cpd25671	EX_cpd25671_e0[u]	-1000	0	0	0
yersiniose B	rxn29443	cpd25672	EX_cpd25672_e0[u]	-1000	0	0	0
"3,6-dideoxy-D-ribo-hexose"	rxn29444	cpd25673	EX_cpd25673_e0[u]	-1000	0	0	0
"alpha-D-Galp2,6S2-(1->3)-beta-D-Galp2S-(1->4)-alpha-D-Galp2,6S2-(1->3)-D-Galp2S"	rxn29445	cpd25687	EX_cpd25687_e0[u]	-1000	0	0	0
"6,6-kestotetraose"	rxn29447	cpd25730	EX_cpd25730_e0[u]	-1000	0	0	0
Glcp-alpha-octyl	rxn29448	cpd25949	EX_cpd25949_e0[u]	-1000	0	0	0
