FileName 	ObjFunctionSpeciesA 	ObjFunctionSpeciesB 	GRSpeciesA 	GRSpeciesB
communityA_657315_3_modelXA_742726_3_model.xml 	A_657315_3_model 	A_742726_3_model 	Solo 	102.703169614 
communityA_657315_3_modelXA_742726_3_model.xml 	A_657315_3_model 	A_742726_3_model 138.230959644 	Solo
communityA_717962_3_modelXA_1000569_4_model.xml 	A_717962_3_model 	A_1000569_4_model 	116.501461185 	13.6977201512 
communityA_717962_3_modelXA_1000569_4_model.xml 	A_717962_3_model 	A_1000569_4_model 	Solo 	13.6977201512 
communityA_717962_3_modelXA_1000569_4_model.xml 	A_717962_3_model 	A_1000569_4_model 116.501461185 	Solo
communityA_717962_3_modelXA_1165092_3_model.xml 	A_717962_3_model 	A_1165092_3_model 	116.501461185 	57.6544415162 
communityA_717962_3_modelXA_1165092_3_model.xml 	A_717962_3_model 	A_1165092_3_model 	Solo 	58.0106419459 
communityA_717962_3_modelXA_1165092_3_model.xml 	A_717962_3_model 	A_1165092_3_model 116.501461185 	Solo
communityA_717962_3_modelXA_1297617_3_model.xml 	A_717962_3_model 	A_1297617_3_model 	116.106417123 	15.3886830008 
communityA_717962_3_modelXA_1297617_3_model.xml 	A_717962_3_model 	A_1297617_3_model 	Solo 	20.2845775868 
communityA_717962_3_modelXA_1297617_3_model.xml 	A_717962_3_model 	A_1297617_3_model 116.501461185 	Solo
communityA_717962_3_modelXA_1469948_3_model.xml 	A_717962_3_model 	A_1469948_3_model 	115.803841398 	31.4940337758 
communityA_717962_3_modelXA_1469948_3_model.xml 	A_717962_3_model 	A_1469948_3_model 	Solo 	40.3738515079 
communityA_717962_3_modelXA_1469948_3_model.xml 	A_717962_3_model 	A_1469948_3_model 116.501461185 	Solo
communityA_717962_3_modelXA_29354_3_model.xml 	A_717962_3_model 	A_29354_3_model 	115.803841398 	68.7615574399 
communityA_717962_3_modelXA_29354_3_model.xml 	A_717962_3_model 	A_29354_3_model 	Solo 	73.9321204524 
communityA_717962_3_modelXA_29354_3_model.xml 	A_717962_3_model 	A_29354_3_model 116.501461185 	Solo
communityA_742726_3_modelXA_1165092_3_model.xml 	A_742726_3_model 	A_1165092_3_model 	102.703169614 	56.4107153301 
communityA_742726_3_modelXA_1165092_3_model.xml 	A_742726_3_model 	A_1165092_3_model 	Solo 	58.0106419459 
communityA_742726_3_modelXA_1165092_3_model.xml 	A_742726_3_model 	A_1165092_3_model 102.703169614 	Solo
communityA_742726_3_modelXA_525362_3_model.xml 	A_742726_3_model 	A_525362_3_model 	102.703169614 	34.9068505707 
communityA_742726_3_modelXA_525362_3_model.xml 	A_742726_3_model 	A_525362_3_model 	Solo 	35.7552301942 
communityA_742726_3_modelXA_525362_3_model.xml 	A_742726_3_model 	A_525362_3_model 102.703169614 	Solo
communityA_742823_3_modelXA_1297617_3_model.xml 	A_742823_3_model 	A_1297617_3_model 	79.8886235361 	16.8378371166 
communityA_742823_3_modelXA_1297617_3_model.xml 	A_742823_3_model 	A_1297617_3_model 	Solo 	20.2845775868 
communityA_742823_3_modelXA_1297617_3_model.xml 	A_742823_3_model 	A_1297617_3_model 79.8886235361 	Solo
communityA_742823_3_modelXA_1367212_3_model.xml 	A_742823_3_model 	A_1367212_3_model 	79.8886235361 	23.897235848 
communityA_742823_3_modelXA_1367212_3_model.xml 	A_742823_3_model 	A_1367212_3_model 	Solo 	23.897235848 
communityA_742823_3_modelXA_1367212_3_model.xml 	A_742823_3_model 	A_1367212_3_model 79.8886235361 	Solo
